Model,R2_Score,RMSE,MAE
Linear Regression,0.5757877060324512,0.745581383012776,0.5332001304956565
Random Forest,0.8061409855247303,0.504018445179664,0.3259970447262191
Gradient Boosting,0.8421594495288397,0.4547919023772239,0.29642164235691815
